item,asin,groupA_buyers,groupB_buyers,total_buyers
4289,B000002UJQ,0,15,15
10943,B00000FC5H,0,15,15
25279,B004UB2WAQ,0,15,15
23495,B002MWXV4G,0,15,15
16782,B000NVIXDW,1,14,15
19322,B0013ND334,0,15,15
8637,B00008OWZG,0,14,14
26452,B005QJZ5FA,0,14,14
9241,B0000C6E4D,0,14,14
2835,B000002UDB,0,14,14
8810,B000002KGT,0,14,14
22495,B001TRDPB4,0,14,14
12207,B0006L16N8,0,14,14
3051,B000002J0L,0,14,14
25815,B0052GACNM,0,14,14
13437,B000BGR18W,0,14,14
27817,B009G7ZYPY,0,14,14
10844,B0002OERI0,0,14,14
14721,B000DN6ZGC,0,14,14
20510,B0018OASZE,0,14,14
5400,B000002LFZ,0,14,14
14402,B000EU1PNC,0,14,14
7558,B00006AG5N,0,14,14
7836,B00006L7XQ,0,14,14
3134,B000002UAL,0,14,14
15144,B000GFLAI0,0,14,14
6200,B00005QZWI,0,14,14
2876,B000002UCQ,0,14,14
5175,B00000269M,0,13,13
28200,B00A80SHFM,0,13,13
22979,B002YIHO7I,0,13,13
19767,B000RPTQ1C,0,13,13
17007,B000P2A242,0,13,13
3824,B0000025UW,1,12,13
24056,B003ZJ0ZX0,0,13,13
3773,B00000IAU3,1,12,13
17448,B000R7I3LY,0,13,13
3242,B000002AV5,0,13,13
9458,B0000TB01Y,0,13,13
4144,B000000W5N,0,13,13
22156,B001AQTWF2,0,13,13
3983,B000002GFU,0,13,13
14100,B000E6UK5K,0,13,13
6010,B000002J1E,0,13,13
14445,B000ESSTMO,0,13,13
22370,B002KDUDG6,1,12,13
4860,B000002OX7,0,13,13
7633,B00006JL1Z,0,13,13
25973,B005HPY8LU,0,13,13
7930,B00006RU5B,0,13,13
6544,B00005USBH,0,13,13
20656,B001GQ2TGA,0,13,13
22609,B002QEXN3O,0,13,13
15337,B000FTWB7G,0,13,13
19390,B0015D3Z4O,0,13,13
13472,B000B8QEYC,0,12,12
30065,B00EUS9IBU,0,12,12
5878,B000003BDI,0,12,12
20733,B001FWRZ46,0,12,12
4452,B000002P5U,0,12,12
21285,B001AQXJ9W,0,12,12
18656,B000Z9RD2Y,0,12,12
5808,B000002TSS,0,12,12
4444,B000002NBY,1,11,12
27730,B009AWREEO,0,12,12
21714,B001UJIMUK,0,12,12
15399,B000HOJBU4,0,12,12
8918,B000088E6D,1,11,12
4318,B00004Z0LW,0,12,12
11965,B00061WY0C,0,12,12
9310,B0000DJZA5,0,12,12
4013,B000002UAN,0,12,12
9522,B000000W5L,0,12,12
3287,B000002KBU,0,12,12
5150,B000002LRR,1,11,12
4609,B000002GVO,0,12,12
9625,B000093BDX,0,12,12
6008,B0000025RI,0,12,12
3120,B0000025HU,0,12,12
5694,B0000024OG,0,12,12
12556,B0009J8FG8,0,12,12
6986,6303314015,0,12,12
6589,B00005Y1XY,0,12,12
3224,B00000J7J4,0,12,12
8383,B000002JS6,0,12,12
27499,B008J34466,0,12,12
5394,B000002OPL,0,12,12
13863,B000BISBDY,0,12,12
26008,B005G618JU,0,12,12
13064,B000B0WOEO,0,12,12
7778,B00006JO4Q,0,12,12
28176,B008K9SG9K,0,12,12
13916,B000CR7RDE,0,11,11
26825,B007CKNX28,0,11,11
17845,B000ULQVCK,0,11,11
10283,B0001M0JL2,0,11,11
27725,B00979CS50,0,11,11
4865,B000000OPU,0,11,11
3634,B000002P1P,0,11,11
6920,B00006690F,0,11,11
4153,B000002B30,0,11,11
5277,B00005ICAW,0,11,11
27471,B008MQ6PDU,0,11,11
6626,B000002KHB,0,11,11
25145,B004T4F7TW,0,11,11
5510,B000002U8G,0,11,11
7201,B00005JGA4,0,11,11
27532,B008RYN44U,0,11,11
7354,B000002JUC,0,11,11
5486,B00005JXS6,0,11,11
22220,B002BSHXJA,0,11,11
11195,B00063EMJ6,0,11,11
7678,B00006JSS8,0,11,11
6896,B0000062XS,0,11,11
28806,B00BCZU8WM,0,11,11
26503,B006OAB3ME,0,11,11
5881,B000002H22,0,11,11
4504,B00004U9MS,0,11,11
28761,B00AYHK7RU,0,11,11
12025,B0002858YS,0,11,11
24114,B003TWP5JC,0,11,11
22318,B002DYJAIO,0,11,11
9062,B00006879E,0,11,11
20682,B001GQACGE,0,11,11
15655,B000IY04RC,0,11,11
4690,B00000I8KE,0,11,11
16944,B000P2A256,0,11,11
20757,B001G0LBXS,0,11,11
8712,B000001FDV,0,11,11
3138,B000002UAF,0,11,11
3921,B00000ICO0,0,11,11
8391,B00007GUIO,0,11,11
11879,B0001XANAS,0,11,11
13869,B000CC1TGA,0,11,11
16969,B000PFU7OO,0,11,11
2850,B000003BF1,0,11,11
26497,B006UG909U,0,11,11
24161,B003WTE886,0,10,10
3402,6305846464,0,10,10
3979,B000002GQK,0,10,10
14446,B000EULJLU,0,10,10
3967,B000002GQE,0,10,10
3481,B000002WT6,0,10,10
12999,B000AAVDZG,0,10,10
16151,B000KQGX1Y,0,10,10
12880,B000A7Q27I,0,10,10
19349,B0013D8JQK,0,10,10
14718,B000FBHT1C,0,10,10
18369,B000Y7ZHCU,0,10,10
14802,B0002W18MU,0,10,10
24889,B004K7M6SI,0,10,10
2992,B00000253N,0,10,10
15068,B000G759LW,0,10,10
26751,B007DIQAXI,0,10,10
26695,B005N0C04Q,0,10,10
4079,B000002572,0,10,10
26859,B0074MZSPO,0,10,10
3587,B00004R84V,0,10,10
13627,B000BNTM32,0,10,10
11926,B0007WZUMO,0,10,10
4115,B000002JSN,0,10,10
27047,B007KCG7MQ,0,10,10
27079,1858705231,0,10,10
14284,B000EGCITG,0,10,10
4132,B000025558,0,10,10
22505,B002NJ8X9G,0,10,10
17282,B000002TU5,0,10,10
25968,B0053YGYO4,0,10,10
3887,B00000255F,0,10,10
27610,B008XX6J92,0,10,10
3214,B000031XCR,0,10,10
7892,B00006LFGD,0,10,10
5530,B0000029DD,0,10,10
21075,B001L5SXQG,0,10,10
21086,B001OC6PDE,0,10,10
5119,B000002J03,0,10,10
5114,B000002J01,0,10,10
9094,B000089RVR,0,10,10
5863,B00005NI5Y,0,10,10
8656,B00009PRZF,0,10,10
21571,B001NESPHC,0,10,10
8387,B00008J4P5,0,10,10
20742,B001IZIK3A,0,10,10
5892,B00005N9CV,0,10,10
4674,6302415993,0,10,10
7940,B000002GNC,0,10,10
6013,B000002J1F,0,10,10
27884,B009LXEBD4,0,10,10
7866,B0000025BL,0,10,10
4711,B00003002C,0,10,10
22469,B002H3F7F6,1,9,10
30126,B00EJU8ZIG,0,10,10
7664,B000002KO3,0,10,10
15661,B000J3EEBY,1,9,10
7344,B00004KD24,0,10,10
7238,B000069HKH,0,10,10
30219,B00EW9GQR6,0,10,10
29233,B00C061HZY,0,10,10
6207,B0000024YL,0,10,10
29400,B00BTHWFBK,0,10,10
9598,B000001FZ6,1,9,10
6394,B000002OO0,0,10,10
27927,B0075MFS9Y,0,10,10
6400,B00005TT77,0,10,10
5393,B000002UVX,0,10,10
11088,B00062ZV2E,0,10,10
27571,B008R3EYWM,0,10,10
10101,B0001M7P78,0,10,10
27467,B008LZHA3G,0,10,10
5189,B000002NJH,0,10,10
5210,B000002KD9,0,10,10
27851,B009E3EWPI,0,9,9
13323,B0009YA3CC,0,9,9
4693,B000001FDI,0,9,9
20684,B001DMJAMI,0,9,9
21446,B001RTP3YQ,0,9,9
27614,B0090X4GJE,0,9,9
6145,B00005OLYC,0,9,9
22564,B002QEXN2K,0,9,9
13859,B000C0X3ZC,0,9,9
25839,B004T5IW2K,0,9,9
25875,B0052TDGQO,0,9,9
4680,B000001EGC,0,9,9
10409,B000002L7G,0,9,9
24218,B003GAMPWM,0,9,9
17332,B000R7I30A,0,9,9
17295,B000UJ48OU,0,9,9
20695,B001EYGOEM,0,9,9
22223,B002BSHWUU,0,9,9
5075,B000059MEK,0,9,9
16139,B000FMGWRS,0,9,9
26007,B005MYWZKM,0,9,9
21508,B001IBIQU6,0,9,9
8343,B00008H2LB,0,9,9
7758,B00006L9ZT,0,9,9
11174,B000654YWY,0,9,9
7690,B00006IM9Q,0,9,9
10600,B000267J10,0,9,9
30153,B00F0O8SZK,0,9,9
3578,B00004SCX6,0,9,9
3585,B000002MSM,0,9,9
6382,B000000OAN,0,9,9
4156,B000000W5P,0,9,9
10963,B0002NRRAG,0,9,9
6731,B00005YXZI,0,9,9
6834,B00004Z459,0,9,9
3118,B00001ZULV,0,9,9
3620,B000002GFW,0,9,9
29279,B00847KFDS,0,9,9
18556,B00104W8T6,0,9,9
7666,B00006CXXU,0,9,9
20627,B001CB6RTO,0,9,9
3650,B000005J56,0,9,9
25150,B004IQMXD4,0,9,9
14470,B000FI9OSG,0,9,9
7331,B000068ZVQ,0,9,9
15308,B000H0MKGU,0,9,9
20653,B001ED7C58,0,9,9
4790,6300270424,0,9,9
7533,B00005YW4N,0,9,9
13998,B00007KWHG,0,9,9
12957,B000AA302K,0,9,9
27677,B008XNZMOU,0,9,9
3888,7799623519,0,9,9
19954,B0017I1FP8,0,9,9
4001,B000002J0P,0,9,9
8665,B00008OWZE,0,9,9
28413,B007WFR0QS,0,9,9
8888,B00006ALGL,0,9,9
16492,B000MTPAGI,0,9,9
27931,B00908DDZM,0,9,9
23835,B003O85W3A,0,9,9
9894,B00004R7VU,0,9,9
3020,B000002MG0,0,9,9
16226,B000LXHGFI,0,9,9
23723,B002RV01Q8,0,9,9
9577,B0000025DT,0,9,9
27814,B009NOVCSS,0,9,9
2887,B000002UB6,0,9,9
23491,B003AO1SVS,0,9,9
2866,B000002KAT,0,9,9
5644,B000002MFE,0,9,9
4094,B000002GVZ,0,9,9
9276,B0000025BR,0,9,9
9321,B0000DD7LB,0,9,9
4592,6304639457,1,8,9
5724,B00000ICNY,0,9,9
4021,B000002O2B,0,9,9
4042,B00004S51Y,0,9,9
22260,B0029RQE84,0,9,9
5509,B000002U9W,0,9,9
7228,B00000JFG3,1,8,9
5869,B000001FY9,0,9,9
12922,B000AL730O,0,9,9
19151,B0013BNY2Q,0,9,9
8399,B00008PW3O,0,9,9
24030,B003XMUFGQ,0,9,9
4063,B0000025T6,0,9,9
3276,B000000ISB,0,9,9
27744,B008ELUEQC,0,9,9
12833,B000AADYRQ,0,9,9
9834,B00004Z3AV,0,9,9
26183,B005URRCNQ,0,9,9
8664,B000089RVU,0,9,9
28516,B0096MV73M,0,9,9
17980,B000VEA31Q,0,9,9
26974,B007MAET4O,0,9,9
12539,B0009XNUK0,0,9,9
11793,B000001Y5Z,0,9,9
3943,B000002GL4,0,9,9
8659,B000092ZYX,0,9,9
5512,B000002UA5,0,9,9
26460,B0067LY4WG,0,9,9
23596,B003A4IFGY,0,9,9
5536,B000002C1Z,0,8,8
5283,B00005BL2A,0,8,8
6217,B000002VN7,0,8,8
3539,B00001QGQI,0,8,8
5370,B00005BJ2O,0,8,8
5121,B000002J1U,0,8,8
3262,B0000025DV,0,8,8
6205,B00005RFGG,0,8,8
6199,B00005RD78,0,8,8
5090,B000002KB8,0,8,8
16382,B00002MYY7,0,8,8
3563,B000002699,0,8,8
3409,B00004NRPZ,0,8,8
24309,B00472O3C8,0,8,8
17337,B000S6LT42,0,8,8
15793,B000IY04S6,0,8,8
5465,B00000016V,0,8,8
15741,B00006WL1Q,0,8,8
6089,B00005N53P,0,8,8
15631,B000IFQLLY,0,8,8
16766,B000NVIXFK,0,8,8
15625,B000I0QK74,0,8,8
15545,B000I5X81A,0,8,8
16845,B000NDEZPA,0,8,8
15541,B000I5X81K,0,8,8
6178,6305268177,0,8,8
5463,B00000016N,0,8,8
6188,B000002G7C,0,8,8
5950,B00005NZDW,0,8,8
11119,B0002IVN9W,0,8,8
30161,B00F1CRRIU,0,8,8
8481,B00006NSH8,0,8,8
4034,B000002LT2,0,8,8
4032,B000000IS5,0,8,8
28061,B00A1EOBJQ,0,8,8
9362,B0000DZEA1,0,8,8
11937,B0007TKHHK,0,8,8
11938,B00061U64S,0,8,8
11962,B0000203YR,0,8,8
9248,B0000DZ3E2,0,8,8
9218,B0000CC6QF,0,8,8
12154,B000850JP8,0,8,8
30361,B00EDY5KTA,0,8,8
9064,B000002U98,0,8,8
9011,B00005Y1M2,0,8,8
12258,B0009HLDFU,0,8,8
28485,B00AJLHU3K,0,8,8
27940,B0091LRZX4,0,8,8
11855,B000001AMZ,0,8,8
4045,B000002W0Z,0,8,8
23127,B001TW68P4,0,8,8
4233,B000000IV0,0,8,8
11160,B000002H2H,0,8,8
4268,B000002UYZ,0,8,8
27501,B008I3QZKU,0,8,8
27576,B008FSCNTK,0,8,8
27582,B008VF0XY4,0,8,8
10177,B000002H33,0,8,8
11668,B000PKG7I4,0,8,8
27652,B0096I9UQM,0,8,8
4113,B000001FAO,0,8,8
4357,B00004XQZ1,0,8,8
4092,B00004X01U,0,8,8
11550,B0007MU1IW,0,8,8
27809,B009AZZ6H8,0,8,8
12613,B000002507,0,8,8
3884,B000001A6X,0,8,8
4952,B000001FA4,0,8,8
3869,B000002BZ0,0,8,8
4736,B00000273M,0,8,8
7704,B00006JL4J,0,8,8
7560,B00006F7S4,0,8,8
3697,B000002KD7,0,8,8
29054,B00AU15GIA,0,8,8
7389,B00006BIMO,0,8,8
14367,B000EQ5QFE,0,8,8
7275,B000002KHH,0,8,8
7247,B00005JIZA,0,8,8
29148,B00BIVN82M,0,8,8
29216,B00BPWDMP2,0,8,8
3645,B000006OHD,0,8,8
25006,B004LUHQ1G,0,8,8
6572,B0000032XY,0,8,8
14846,B00000K2VU,0,8,8
25523,B004GY6DTS,0,8,8
4718,B000001A6N,0,8,8
11127,B0002S947K,0,8,8
4651,B000003S0P,0,8,8
12953,B0000000KO,0,8,8
3860,B000006OHF,0,8,8
28665,B00AKV1K9O,0,8,8
13016,B000000WG4,0,8,8
3849,B00000J7S8,0,8,8
28711,B00AYR2FOI,0,8,8
25970,B005KJZDW6,0,8,8
13572,B000BJS4TO,0,8,8
8041,B000002H97,0,8,8
13088,B0009F2BTO,0,8,8
3814,B000002KOQ,0,8,8
3809,B00000J6AG,0,8,8
7886,B00006IX86,0,8,8
13515,B000BR346E,0,8,8
7818,B00006LSOG,0,8,8
12460,B000301YY8,0,8,8
3130,B00001R3DO,0,8,8
19989,B0019FOC5E,0,8,8
22315,B002HNA95E,0,8,8
18153,B000VLE3GA,0,8,8
3544,B000003JAL,1,7,8
20559,B001FWXOBO,0,8,8
2863,B000002USX,0,8,8
3105,B00000064G,0,8,8
22354,B0029LHW5E,0,8,8
2932,6303477259,0,8,8
7792,B00006JYI7,1,7,8
14150,0780018664,1,7,8
22393,B002MW50KO,0,8,8
4844,B000001FDK,1,7,8
21783,B00192IV0O,0,8,8
20425,B001C4E6DA,0,8,8
19734,B0014XCMVM,0,8,8
21384,B001K3JF7K,0,8,8
18869,B000WS4QJG,0,8,8
22042,B002ECN4NM,0,8,8
22857,B002XNEII2,0,8,8
22312,B002DSM8UC,0,8,8
20632,B001F290E4,0,8,8
10892,B0002RUPH4,1,7,8
19050,B0012IWHQO,0,8,8
18034,B000WAEJZ0,0,8,8
9316,B0000CEB4V,1,7,8
18043,B000VG7M0O,0,8,8
18683,B000WSRPOO,0,8,8
3164,B000002LOI,0,8,8
7748,B000002VRL,0,7,7
14682,B000FBGBPC,0,7,7
28910,B00B5UBEOU,0,7,7
7701,B00006LU5V,0,7,7
21237,B001FQHQRI,1,6,7
4646,B0000029LG,0,7,7
7655,B000003S0M,0,7,7
7785,B00006LSM3,0,7,7
8361,B00008MNYT,0,7,7
8376,B000083E79,0,7,7
7625,B00006J3WH,0,7,7
8492,B000028U0Y,0,7,7
28448,B00AG6Z92C,0,7,7
17607,B000RIWAS0,1,6,7
7770,B000002A46,0,7,7
14485,B000F3UADO,0,7,7
14509,B000EU1KRS,0,7,7
3094,B000008GEF,0,7,7
4676,B0000025F7,0,7,7
14257,B000EBFLHC,0,7,7
7898,B0000029DL,0,7,7
3101,B000002LND,0,7,7
25182,B004P1JMYA,0,7,7
7850,B00007149K,0,7,7
25322,B004Y9CREK,0,7,7
14899,B000FFJ80I,0,7,7
14166,B000E6UJP6,0,7,7
28715,B00AA0TZTW,0,7,7
14451,B000ETQRCM,0,7,7
26954,B00723NWJE,0,7,7
14473,B000E5N63E,0,7,7
14482,B000F0UV1S,0,7,7
3646,B0000029XG,0,7,7
4777,B000002L68,0,7,7
3106,B00001OH7P,0,7,7
22733,B002P5XXR0,0,7,7
24392,B00192IV9U,0,7,7
6888,B000003S0F,0,7,7
6865,B000003S0D,0,7,7
15504,B000IU3YLY,0,7,7
6790,B0000636UN,0,7,7
15613,B000002KZ1,0,7,7
22910,B002WIDRM6,0,7,7
24459,B00008RH16,0,7,7
3457,B000002KHY,0,7,7
3452,B00000K29H,0,7,7
3577,B00000018N,0,7,7
18113,B000VEYJP2,0,7,7
6456,B00001NFMF,0,7,7
24302,B00442OCYK,0,7,7
20578,B001G9LVGG,0,7,7
24252,B0043A0PXU,0,7,7
6275,B000002KKD,0,7,7
6261,B00005RFAI,0,7,7
6220,B00005OWJV,0,7,7
6979,B000002G3Y,0,7,7
6981,B000065UFD,0,7,7
3142,B00000J7JO,0,7,7
15336,B000GY729M,0,7,7
20395,B001D5DQCU,0,7,7
15463,B000HXDESU,1,6,7
15032,B000G6BL7E,0,7,7
4580,B000002UA9,0,7,7
7274,B000002KNY,0,7,7
7262,B000066NW0,0,7,7
7216,B000066RM4,0,7,7
4843,B00001OH7U,0,7,7
7165,B000002KEN,0,7,7
3538,B000001F5Y,0,7,7
3537,B000002A3T,0,7,7
7134,B000002TQQ,0,7,7
15290,B000H7JDVI,0,7,7
7111,B000002URV,0,7,7
20476,B0017ZB8M6,0,7,7
7096,B000068PBZ,0,7,7
7084,B000000WC1,0,7,7
8652,B000000OBP,0,7,7
21631,B001SAQVDQ,0,7,7
8696,B00009OYRK,0,7,7
10614,B0001XASDA,0,7,7
10452,B00029P9X2,0,7,7
27515,B008OM7A4K,0,7,7
10360,B0001ENX54,0,7,7
3963,B000002GQH,0,7,7
12297,B0000025SB,0,7,7
26424,B005RYF5H2,0,7,7
4295,B000005J7X,0,7,7
27580,B008FSCNWW,0,7,7
27600,B006M4RN3U,0,7,7
10208,B00014TQ7S,0,7,7
12500,B0009K8LMA,0,7,7
18922,B000WW2AGS,0,7,7
12559,B0001AP0OU,0,7,7
3934,B0000041OG,0,7,7
3932,B000002GEY,0,7,7
3035,B000001F6P,0,7,7
12672,B0002ZCJWA,0,7,7
12682,B0009ML2BU,0,7,7
3037,B000002LOE,0,7,7
10471,B000286S8S,0,7,7
10622,B000063COZ,0,7,7
27736,B009A9EKGM,0,7,7
12110,B0007GAEVW,0,7,7
4096,B000002KLQ,0,7,7
26961,B007H9B6KA,0,7,7
4109,B00000634J,0,7,7
11317,B0002X314C,0,7,7
27039,B007U1FEJE,0,7,7
19320,B000RB6UXS,0,7,7
4064,B000001ESD,0,7,7
11066,B000002JPA,0,7,7
4040,B000002GXL,0,7,7
3001,B000003BEM,0,7,7
11006,B00000BKDZ,0,7,7
19061,B00152PFAM,0,7,7
19396,B0015435OI,0,7,7
10947,B000002GYR,0,7,7
27215,B000FZESRG,0,7,7
10847,B0002U6GFQ,0,7,7
4219,B00000331T,0,7,7
10707,B000002I99,0,7,7
12052,B00082ZSP2,0,7,7
3920,B00001NFCY,0,7,7
27754,B00911LA76,0,7,7
4563,B00000ILQQ,0,7,7
3063,B000007638,0,7,7
4473,B000001F3N,0,7,7
2872,B00000F1D3,0,7,7
9284,B0000E1ALR,0,7,7
28100,B009PWN17I,0,7,7
13296,B0000029B0,0,7,7
9188,5558783532,0,7,7
13316,B000B7BRMM,0,7,7
18710,B000ZK53CA,0,7,7
4497,B000002C4J,0,7,7
13373,B000AU1NZQ,0,7,7
18701,B000Y14U4M,0,7,7
21646,B001VPJYYQ,0,7,7
9028,B0000C0FKA,0,7,7
21635,B0021X515S,0,7,7
8928,B0000AGWIK,0,7,7
13555,B000BEZQ18,0,7,7
4554,B00004SVM7,0,7,7
13618,B00004S7LI,0,7,7
8769,B00000BKDY,0,7,7
19902,B000TV12NO,0,7,7
4454,B00004Y7SF,0,7,7
3913,B000002W58,0,7,7
22498,B002DYJAIY,0,7,7
26172,B0061JPYX2,0,7,7
27772,B0085RQLXK,0,7,7
9696,B000002KE5,0,7,7
18863,B00112ARJ0,0,7,7
3886,B000000IRK,0,7,7
4400,B000002UCN,0,7,7
4402,B0000024RH,0,7,7
4406,B00000DHR0,0,7,7
12884,B000A3DFZE,0,7,7
19792,B0017R5UA0,0,7,7
3874,B000002VT6,0,7,7
2891,B000002UZ1,0,7,7
9576,B0000025DR,0,7,7
9555,6303047564,0,7,7
22462,B002Q4U9YU,0,7,7
13004,B000AXSN5G,0,7,7
4443,B00004U2G4,0,7,7
13056,B000AMJE7S,0,7,7
9397,B0000DZDYN,0,7,7
18059,B000SNUMCU,0,7,7
2980,B000002G62,0,7,7
5174,B000001EST,0,7,7
5513,B000002UA2,0,7,7
20689,B001ACH4DS,0,7,7
5772,B000050AQC,0,7,7
5493,B000002U9Y,0,7,7
5113,B0000028UK,0,7,7
5198,B00005AXEL,0,7,7
3359,B000000OU0,0,7,7
17807,B000UR366S,0,7,7
16875,B000BFH2QY,0,7,7
21012,B001C3KCSY,0,7,7
5676,B00005N8CQ,0,7,7
23281,B003405MF6,0,7,7
5469,B000005H4X,0,7,7
5389,B000001F2F,0,7,7
17867,B000UAE8CQ,0,7,7
29942,B00DGGIXS6,0,7,7
5391,1929243154,0,7,7
17004,B000OZ2CZW,0,7,7
5207,B000002KHF,0,7,7
5395,B000002P5W,0,7,7
29836,B00D8HNQZI,0,7,7
3297,B00000721O,0,7,7
23884,B003L77TZI,0,7,7
20679,B001FOJ76S,0,7,7
7194,B0000047CX,1,6,7
3300,B000002UCL,0,7,7
6056,B000002H70,0,7,7
3192,B000002UA0,0,7,7
5245,B00005BA03,0,7,7
17141,B000QFAJ7S,0,7,7
5958,B00004NK9T,0,7,7
20696,B001EO2UKO,0,7,7
23969,B003JQLJVG,0,7,7
17840,B000UCEJEQ,0,7,7
3331,B000002MBJ,0,7,7
16695,B000NA1OXY,0,7,7
20719,B001FSDOZO,0,7,7
25870,B004UBB3KQ,0,6,6
5133,B000002LIP,0,6,6
5550,B000001DVP,0,6,6
9652,B000002AF2,0,6,6
9245,B0000DZ3EA,0,6,6
9593,B000002U9E,0,6,6
25889,B005DEVH1E,0,6,6
4480,B000051VWW,0,6,6
26051,B005J7CRNC,0,6,6
13324,B00097DXZS,0,6,6
13203,B000B7HZXM,0,6,6
27959,B001EI5BZQ,0,6,6
9460,B0000CABJ1,0,6,6
13198,B0001MSGX0,0,6,6
9469,B000002KJQ,0,6,6
9414,B0000CDLA7,0,6,6
13054,B000B0WODA,0,6,6
28010,B006PF627O,0,6,6
